timestep;elec;dhw;occ;gains;EV_carprofile;EV_carcharging_ondemand;ice_carprofile;ICE_fuel_car_0;Car_availability_car_0;ICE_fuel_car_1;Car_availability_car_1;ICE_fuel_car_2;Car_availability_car_2;ICE_fuel_car_3;Car_availability_car_3;ICE_fuel_car_4;Car_availability_car_4;ICE_fuel_car_5;Car_availability_car_5;ICE_fuel_car_6;Car_availability_car_6;ICE_fuel_car_7;Car_availability_car_7;ICE_fuel_car_8;Car_availability_car_8;ICE_fuel_car_9;Car_availability_car_9;heating;cooling
11.000;744.166;0.000;4.000;787.931;0.000;0.000;0.128;0.003;False;0.000;True;0.116;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;8681.575;0.000
11.250;619.579;2411.452;4.000;699.249;0.000;0.000;0.128;0.003;False;0.000;True;0.116;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;8604.951;0.000
11.500;2503.712;1688.016;4.000;1939.260;0.000;0.000;0.128;0.003;False;0.000;True;0.116;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;7429.112;0.000
11.750;660.721;0.000;5.000;792.886;0.000;0.000;0.128;0.003;False;0.000;True;0.116;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;8212.236;0.000
12.000;1804.066;0.000;4.000;1470.684;0.000;0.000;0.128;0.003;False;0.000;True;0.116;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;7475.828;0.000
12.250;1801.591;1271.493;3.000;1399.050;0.000;0.000;0.128;0.003;False;0.000;True;0.116;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;6950.228;0.000
12.500;1640.021;1205.726;4.000;1362.414;0.000;0.000;0.128;0.003;False;0.000;True;0.116;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;7135.133;0.000
12.750;3159.930;6401.308;5.000;2436.487;0.000;0.000;0.128;0.003;False;0.000;True;0.116;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;6333.015;0.000
13.000;2022.614;1775.705;5.000;1685.388;0.000;0.000;0.128;0.003;False;0.000;True;0.116;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;6828.668;0.000
13.250;3250.328;0.000;5.000;2495.679;0.000;0.000;0.128;0.003;False;0.000;True;0.116;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;6116.996;0.000
13.500;779.780;1578.405;5.000;870.472;0.000;0.000;0.128;0.003;False;0.000;True;0.116;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;7539.216;0.000
13.750;1598.832;0.000;5.000;1407.948;0.000;0.000;0.128;0.003;False;0.000;True;0.116;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;7105.356;0.000
14.000;748.200;0.000;7.000;986.531;0.000;0.000;0.128;0.003;False;0.000;True;0.116;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;7513.497;0.000
14.250;940.673;0.000;4.000;909.858;0.000;0.000;0.128;0.003;False;0.000;True;0.116;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;7048.079;0.000
14.500;945.500;0.000;4.000;910.621;0.000;0.000;0.128;0.003;False;0.000;True;0.116;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;7261.787;0.000
14.750;1084.511;1271.493;4.000;999.787;0.000;0.000;0.128;0.003;False;0.000;True;0.116;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;7551.023;0.000
15.000;780.586;9799.263;4.000;823.722;0.000;0.000;0.128;0.003;False;0.000;True;0.116;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;7930.978;0.000
15.250;836.052;6116.319;6.000;1003.839;0.000;0.000;0.128;0.003;False;0.000;True;0.116;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;7897.765;0.000
15.500;1179.962;5370.961;7.000;1295.140;0.000;0.000;0.128;0.003;False;0.000;True;0.116;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;7781.959;0.000
15.750;3139.707;7672.801;9.000;2749.604;0.000;0.000;0.128;0.003;False;0.000;True;0.116;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;6718.951;0.000
16.000;2493.134;1337.260;9.000;2346.113;0.000;0.000;0.128;0.003;False;0.000;True;0.116;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;7185.081;0.000
16.250;2572.910;3595.255;11.000;2546.352;0.000;0.000;0.012;0.003;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;7069.267;0.000
16.500;5078.100;5721.717;13.000;4351.374;0.000;0.000;0.012;0.003;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;5685.956;0.000
16.750;1586.475;0.000;13.000;2053.572;0.000;0.000;0.012;0.003;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;7678.112;0.000
17.000;3246.732;0.000;13.000;3128.295;0.000;0.000;0.012;0.003;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;6851.501;0.000
17.250;1563.674;0.000;13.000;2032.947;0.000;0.000;0.012;0.003;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;7760.793;0.000
17.500;2580.748;0.000;14.000;2791.904;0.000;0.000;0.010;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;7131.732;0.000
17.750;4368.213;0.000;15.000;4052.188;0.000;0.000;0.010;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;6113.850;0.000
18.000;1931.807;0.000;13.000;2302.769;0.000;0.000;0.010;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;7555.854;0.000
18.250;3137.030;0.000;10.000;2898.105;0.000;0.000;0.010;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;7028.660;0.000
18.500;3435.708;0.000;10.000;3103.367;0.000;0.000;0.010;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;6850.681;0.000
18.750;4788.633;0.000;11.000;4063.927;0.000;0.000;0.010;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;6047.238;0.000
19.000;8772.855;0.000;11.000;6720.808;0.000;0.000;0.010;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;3858.890;0.000
19.250;9120.532;0.000;10.000;6884.329;0.000;0.000;0.010;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;3728.169;0.000
19.500;7293.157;0.000;9.000;5576.867;0.000;0.000;0.010;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;4764.231;0.000
19.750;3614.457;2389.529;9.000;3136.451;0.000;0.000;0.010;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.010;False;6718.737;0.000
