timestep;MFH_A_0;MFH_A_1;MFH_A_2;MFH_B_0;MFH_B_1;MFH_B_2;MFH_C_0;MFH_C_1;MFH_C_2;MFH_D_0;MFH_D_1;MFH_D_2;MFH_E_0;MFH_E_1;MFH_E_2;MFH_F_0;MFH_F_1;MFH_F_2;MFH_G_0;MFH_G_1;MFH_G_2;MFH_H_0;MFH_H_1;MFH_H_2;MFH_I_0;MFH_I_1;MFH_I_2;MFH_J_0;MFH_J_1;MFH_J_2
8372.0;843.745;1796.273;4988.447;4501.623;2864.658;1922.779;5342.259;6783.952;2859.733;2923.283;4588.865;6063.8;4042.491;3861.055;627.961;3630.838;1191.297;6640.543;1427.741;3483.908;2683.028;1488.885;4896.346;1434.197;2823.861;1338.535;1541.514;1076.717;5968.022;1328.313
8372.25;1149.849;5028.07;4082.098;5113.422;2263.298;3085.891;6761.945;2970.114;8126.552;1259.96;5538.713;6497.476;3922.287;1243.678;1755.453;3936.584;1568.558;7776.678;2924.542;1481.476;2638.112;1398.819;1263.91;1937.918;4744.859;1445.178;2862.709;3121.737;4689.626;1358.07
8372.5;3093.729;5329.952;5756.384;1601.61;2889.178;1220.413;3054.417;2821.564;5687.77;2799.104;4547.323;6496.315;3857.429;1460.35;2000.253;2112.652;1353.095;2524.917;2195.732;1284.857;4759.362;1545.486;2247.908;2191.932;1392.996;1522.326;4425.792;3846.461;3048.089;1373.397
8372.75;2799.407;3218.513;2958.081;3148.21;3869.235;3956.029;4454.4;2717.88;7739.885;6337.639;5610.547;4970.368;4145.679;1526.673;2008.725;2587.5;1297.944;2837.633;2707.815;1434.156;6419.338;2737.773;1248.366;2292.44;4191.933;3429.894;6271.271;1582.534;4016.339;1820.612
8373.0;5531.627;2485.947;3165.58;2811.215;3234.661;5031.031;4943.992;3153.463;5007.423;3516.237;3964.323;3910.37;1353.397;1140.082;3071.982;1170.929;1075.244;4102.319;5021.555;1809.606;4480.278;2549.662;975.174;3243.394;6926.282;3296.727;3452.214;2202.047;5720.028;1107.677
8373.25;1026.805;5745.171;1593.411;6502.981;3105.579;5077.696;3293.153;6182.467;2744.877;3302.431;3380.858;4679.611;2077.706;4591.691;573.897;2033.418;2066.825;3967.264;2796.681;1438.449;6966.961;3049.666;1105.665;1598.546;1712.293;3197.901;3335.642;2830.028;5862.858;2666.218
8373.5;2855.812;4323.621;2294.723;6368.477;1378.655;3807.375;4194.736;6569.931;3537.426;1658.103;1707.027;2514.499;5184.497;1278.277;1079.763;1976.054;1466.873;4841.698;2787.562;1578.906;3466.653;3347.153;4445.224;4407.72;4284.684;1279.52;4516.235;5316.455;1602.144;2811.579
8373.75;4715.771;2563.596;3563.212;8199.639;1013.296;2914.649;2103.788;7258.457;2406.097;1278.291;6058.137;5599.55;2957.287;1159.805;3066.831;922.972;1215.624;5701.335;954.495;1466.397;2604.067;3672.145;2520.639;3595.427;4252.246;3796.296;3691.001;5324.381;2843.384;1097.053
8374.0;5888.156;1766.831;3506.032;6700.149;2324.221;839.112;2810.605;5640.048;1389.184;3223.016;3937.006;6524.445;2017.249;2780.978;4149.885;2833.024;2740.19;2598.901;1944.899;2247.684;2475.744;1446.152;1014.242;3534.758;5254.328;1444.133;3508.273;1130.291;4463.529;1362.631
8374.25;3746.847;2079.225;1487.198;7121.471;2105.781;2285.784;1959.922;8016.584;1952.381;3001.512;2053.156;2221.656;3548.55;2243.963;923.091;1016.127;2526.089;1627.626;1939.631;4149.136;2425.33;4898.245;2105.536;3313.94;5036.558;3926.429;3141.463;5120.889;5546.633;1254.932
