timestep;MFH_A_0;MFH_A_1;MFH_A_2;MFH_B_0;MFH_B_1;MFH_B_2;MFH_C_0;MFH_C_1;MFH_C_2;MFH_D_0;MFH_D_1;MFH_D_2;MFH_E_0;MFH_E_1;MFH_E_2;MFH_F_0;MFH_F_1;MFH_F_2;MFH_G_0;MFH_G_1;MFH_G_2;MFH_H_0;MFH_H_1;MFH_H_2;MFH_I_0;MFH_I_1;MFH_I_2;MFH_J_0;MFH_J_1;MFH_J_2
10.5;4178.21;4178.21;4178.21;3280.54;3280.54;3280.54;4903.24;4903.24;4903.24;5592.62;5592.62;5592.62;3089.98;3089.98;3089.98;4600.36;4600.36;4600.36;3780.06;3780.06;3780.06;3191.73;3191.73;3191.73;3382.79;3382.79;3382.79;2673.2;2673.2;2673.2
10.75;5245.92;5245.92;5245.92;4118.85;4118.85;4118.85;6156.22;6156.22;6156.22;7021.76;7021.76;7021.76;3879.59;3879.59;3879.59;5775.95;5775.95;5775.95;4746.01;4746.01;4746.01;4007.35;4007.35;4007.35;4247.24;4247.24;4247.24;3356.31;3356.31;3356.31
11.0;6238.19;6238.19;6238.19;4897.94;4897.94;4897.94;7320.68;7320.68;7320.68;8349.95;8349.95;8349.95;4613.42;4613.42;4613.42;6868.48;6868.48;6868.48;5643.73;5643.73;5643.73;4765.35;4765.35;4765.35;5050.61;5050.61;5050.61;3991.17;3991.17;3991.17
11.25;6391.95;6391.95;6391.95;5018.67;5018.67;5018.67;7501.11;7501.11;7501.11;8555.75;8555.75;8555.75;4727.13;4727.13;4727.13;7037.77;7037.77;7037.77;5782.84;5782.84;5782.84;4882.8;4882.8;4882.8;5175.09;5175.09;5175.09;4089.54;4089.54;4089.54
11.5;6571.6;6571.6;6571.6;5159.72;5159.72;5159.72;7711.94;7711.94;7711.94;8796.22;8796.22;8796.22;4859.99;4859.99;4859.99;7235.57;7235.57;7235.57;5945.37;5945.37;5945.37;5020.03;5020.03;5020.03;5320.54;5320.54;5320.54;4204.48;4204.48;4204.48
11.75;6771.61;6771.61;6771.61;5316.76;5316.76;5316.76;7946.66;7946.66;7946.66;9063.94;9063.94;9063.94;5007.91;5007.91;5007.91;7455.79;7455.79;7455.79;6126.32;6126.32;6126.32;5172.83;5172.83;5172.83;5482.48;5482.48;5482.48;4332.44;4332.44;4332.44
12.0;6988.48;6988.48;6988.48;5487.03;5487.03;5487.03;8201.16;8201.16;8201.16;9354.22;9354.22;9354.22;5168.29;5168.29;5168.29;7694.57;7694.57;7694.57;6322.52;6322.52;6322.52;5338.49;5338.49;5338.49;5658.06;5658.06;5658.06;4471.19;4471.19;4471.19
12.25;6268.12;6268.12;6268.12;4921.44;4921.44;4921.44;7355.8;7355.8;7355.8;8390.01;8390.01;8390.01;4635.56;4635.56;4635.56;6901.43;6901.43;6901.43;5670.81;5670.81;5670.81;4788.21;4788.21;4788.21;5074.84;5074.84;5074.84;4010.31;4010.31;4010.31
12.5;5739.13;5739.13;5739.13;4506.1;4506.1;4506.1;6735.02;6735.02;6735.02;7681.94;7681.94;7681.94;4244.35;4244.35;4244.35;6318.99;6318.99;6318.99;5192.23;5192.23;5192.23;4384.11;4384.11;4384.11;4646.56;4646.56;4646.56;3671.87;3671.87;3671.87
12.75;5047.42;5047.42;5047.42;3963.0;3963.0;3963.0;5923.28;5923.28;5923.28;6756.07;6756.07;6756.07;3732.79;3732.79;3732.79;5557.39;5557.39;5557.39;4566.43;4566.43;4566.43;3855.72;3855.72;3855.72;4086.53;4086.53;4086.53;3229.31;3229.31;3229.31
